Grouping	Treatment	Dish	Start	End	G	PG
A	21.25	1	26	27	0	25
A	21.25	1	27	28	0	25
A	21.25	1	28	29	0	25
A	21.25	1	29	30	0	25
A	21.25	1	30	31	0	25
A	21.25	1	31	32	0	25
A	21.25	1	32	33	0	25
A	21.25	1	33	34	0	25
A	21.25	1	34	35	0	25
A	21.25	1	35	36	0	25
A	21.25	1	36	37	0	25
A	21.25	1	37	38	0	25
A	21.25	1	38	39	0	25
A	21.25	1	39	40	0	25
A	21.25	1	40	41	0	25
A	21.25	1	41	42	0	25
A	21.25	1	42	43	0	25
A	23.75	1	0	1	0	25
A	23.75	1	1	2	0	25
A	23.75	1	2	3	0	25
A	23.75	1	3	4	0	25
A	23.75	1	4	5	0	25
A	23.75	1	5	6	0	25
A	23.75	1	6	7	0	25
A	23.75	1	7	8	4	25
A	23.75	1	8	9	3	25
A	23.75	1	9	10	1	25
A	23.75	1	10	11	1	25
A	23.75	1	11	12	0	25
A	23.75	1	12	13	1	25
A	23.75	1	13	14	0	25
A	23.75	1	14	15	1	25
A	23.75	1	15	16	0	25
A	23.75	1	16	17	0	25
A	23.75	1	17	18	1	25
A	23.75	1	18	19	0	25
A	23.75	1	19	20	0	25
A	23.75	1	20	21	0	25
A	23.75	1	21	22	0	25
A	23.75	1	22	23	1	25
A	23.75	1	23	24	0	25
A	23.75	1	24	25	0	25
A	23.75	1	25	26	0	25
A	23.75	1	26	27	0	25
A	23.75	1	27	28	0	25
A	23.75	1	28	29	0	25
A	23.75	1	29	30	2	25
A	23.75	1	30	31	5	25
A	23.75	1	31	32	0	25
A	23.75	1	32	33	1	25
A	23.75	1	33	34	1	25
A	23.75	1	34	35	0	25
A	23.75	1	35	36	0	25
A	23.75	1	36	37	0	25
A	23.75	1	37	38	0	25
A	23.75	1	38	39	0	25
A	23.75	1	39	40	0	25
A	23.75	1	40	41	0	25
A	23.75	1	41	42	0	25
A	23.75	1	42	43	0	25
A	26.25	1	0	1	0	25
A	26.25	1	1	2	0	25
A	26.25	1	2	3	0	25
A	26.25	1	3	4	0	25
A	26.25	1	4	5	0	25
A	26.25	1	5	6	0	25
A	26.25	1	6	7	0	25
A	26.25	1	7	8	1	25
A	26.25	1	8	9	0	25
A	26.25	1	9	10	0	25
A	26.25	1	10	11	5	25
A	26.25	1	11	12	3	25
A	26.25	1	12	13	3	25
A	26.25	1	13	14	0	25
A	26.25	1	14	15	0	25
A	26.25	1	15	16	0	25
A	26.25	1	16	17	0	25
A	26.25	1	17	18	0	25
A	26.25	1	18	19	0	25
A	26.25	1	19	20	0	25
A	26.25	1	20	21	1	25
A	26.25	1	21	22	1	25
A	26.25	1	22	23	7	25
A	26.25	1	23	24	0	25
A	26.25	1	24	25	0	25
A	26.25	1	25	26	0	25
A	26.25	1	26	27	0	25
A	26.25	1	27	28	0	25
A	26.25	1	28	29	0	25
A	26.25	1	29	30	0	25
A	26.25	1	30	31	0	25
A	26.25	1	31	32	0	25
A	26.25	1	32	33	1	25
A	26.25	1	33	34	0	25
A	26.25	1	34	35	0	25
A	26.25	1	35	36	0	25
A	26.25	1	36	37	0	25
A	26.25	1	37	38	0	25
A	26.25	1	38	39	0	25
A	26.25	1	39	40	0	25
A	26.25	1	40	41	0	25
A	26.25	1	41	42	0	25
A	26.25	1	42	43	0	25
A	28.75	1	0	1	0	25
A	28.75	1	1	2	0	25
A	28.75	1	2	3	0	25
A	28.75	1	3	4	0	25
A	28.75	1	4	5	0	25
A	28.75	1	5	6	0	25
A	28.75	1	6	7	0	25
A	28.75	1	7	8	3	25
A	28.75	1	8	9	0	25
A	28.75	1	9	10	1	25
A	28.75	1	10	11	0	25
A	28.75	1	11	12	1	25
A	28.75	1	12	13	0	25
A	28.75	1	13	14	0	25
A	28.75	1	14	15	0	25
A	28.75	1	15	16	0	25
A	28.75	1	16	17	2	25
A	28.75	1	17	18	0	25
A	28.75	1	18	19	0	25
A	28.75	1	19	20	2	25
A	28.75	1	20	21	0	25
A	28.75	1	21	22	8	25
A	28.75	1	22	23	5	25
A	28.75	1	23	24	1	25
A	28.75	1	24	25	0	25
A	28.75	1	25	26	0	25
A	28.75	1	26	27	0	25
A	28.75	1	27	28	0	25
A	28.75	1	28	29	0	25
A	28.75	1	29	30	0	25
A	28.75	1	30	31	0	25
A	28.75	1	31	32	1	25
A	28.75	1	32	33	0	25
A	28.75	1	33	34	1	25
A	28.75	1	34	35	0	25
A	28.75	1	35	36	0	25
A	28.75	1	36	37	0	25
A	28.75	1	37	38	0	25
A	28.75	1	38	39	0	25
A	28.75	1	39	40	0	25
A	28.75	1	40	41	0	25
A	28.75	1	41	42	0	25
A	28.75	1	42	43	0	25
A	31.25	1	0	1	0	20
A	31.25	1	1	2	0	20
A	31.25	1	2	3	0	20
A	31.25	1	3	4	0	20
A	31.25	1	4	5	0	20
A	31.25	1	5	6	0	20
A	31.25	1	6	7	0	20
A	31.25	1	7	8	2	20
A	31.25	1	8	9	1	20
A	31.25	1	9	10	0	20
A	31.25	1	10	11	0	20
A	31.25	1	11	12	0	20
A	31.25	1	12	13	0	20
A	31.25	1	13	14	0	20
A	31.25	1	14	15	0	20
A	31.25	1	15	16	0	20
A	31.25	1	16	17	0	20
A	31.25	1	17	18	1	20
A	31.25	1	18	19	0	20
A	31.25	1	19	20	0	20
A	31.25	1	20	21	0	20
A	31.25	1	21	22	0	20
A	31.25	1	22	23	0	20
A	31.25	1	23	24	1	20
A	31.25	1	24	25	0	20
A	31.25	1	25	26	0	20
A	31.25	1	26	27	0	20
A	31.25	1	27	28	0	20
A	31.25	1	28	29	0	20
A	31.25	1	29	30	0	20
A	31.25	1	30	31	1	20
A	31.25	1	31	32	0	20
A	31.25	1	32	33	2	20
A	31.25	1	33	34	11	20
A	31.25	1	34	35	0	20
A	31.25	1	35	36	0	20
A	31.25	1	36	37	0	20
A	31.25	1	37	38	0	20
A	31.25	1	38	39	0	20
A	31.25	1	39	40	0	20
A	31.25	1	40	41	0	20
A	31.25	1	41	42	0	20
A	31.25	1	42	43	0	20
A	33.75	1	0	1	0	25
A	33.75	1	1	2	0	25
A	33.75	1	2	3	0	25
A	33.75	1	3	4	0	25
A	33.75	1	4	5	0	25
A	33.75	1	5	6	0	25
A	33.75	1	6	7	0	25
A	33.75	1	7	8	0	25
A	33.75	1	8	9	0	25
A	33.75	1	9	10	0	25
A	33.75	1	10	11	0	25
A	33.75	1	11	12	0	25
A	33.75	1	12	13	0	25
A	33.75	1	13	14	0	25
A	33.75	1	14	15	0	25
A	33.75	1	15	16	0	25
A	33.75	1	16	17	0	25
A	33.75	1	17	18	0	25
A	33.75	1	18	19	0	25
A	33.75	1	19	20	0	25
A	33.75	1	20	21	0	25
A	33.75	1	21	22	0	25
A	33.75	1	22	23	0	25
A	33.75	1	23	24	0	25
A	33.75	1	24	25	0	25
A	33.75	1	25	26	0	25
A	33.75	1	26	27	0	25
A	33.75	1	27	28	0	25
A	33.75	1	28	29	0	25
A	33.75	1	29	30	0	25
A	33.75	1	30	31	2	25
A	33.75	1	31	32	2	25
A	33.75	1	32	33	1	25
A	33.75	1	33	34	4	25
A	33.75	1	34	35	0	25
A	33.75	1	35	36	0	25
A	33.75	1	36	37	0	25
A	33.75	1	37	38	0	25
A	33.75	1	38	39	0	25
A	33.75	1	39	40	0	25
A	33.75	1	40	41	0	25
A	33.75	1	41	42	0	25
A	33.75	1	42	43	0	25
B	13.75	1	0	1	0	25
B	13.75	1	1	2	0	25
B	13.75	1	2	3	0	25
B	13.75	1	3	4	0	25
B	13.75	1	4	5	0	25
B	13.75	1	5	6	0	25
B	13.75	1	6	7	0	25
B	13.75	1	7	8	0	25
B	13.75	1	8	9	0	25
B	13.75	1	9	10	0	25
B	13.75	1	10	11	0	25
B	13.75	1	11	12	0	25
B	13.75	1	12	13	0	25
B	13.75	1	13	14	0	25
B	13.75	1	14	15	0	25
B	13.75	1	15	16	0	25
B	13.75	1	16	17	0	25
B	13.75	1	17	18	0	25
B	13.75	1	18	19	0	25
B	13.75	1	19	20	0	25
B	13.75	1	20	21	0	25
B	13.75	1	21	22	0	25
B	13.75	1	22	23	0	25
B	13.75	1	23	24	0	25
B	13.75	1	24	25	0	25
B	13.75	1	25	26	0	25
B	13.75	1	26	27	0	25
B	13.75	1	27	28	0	25
B	13.75	1	28	29	0	25
B	13.75	1	29	30	0	25
B	13.75	1	30	31	0	25
B	13.75	1	31	32	0	25
B	13.75	1	32	33	0	25
B	13.75	1	33	34	0	25
B	13.75	1	34	35	0	25
B	13.75	1	35	36	0	25
B	13.75	1	36	37	0	25
B	13.75	1	37	38	0	25
B	13.75	1	38	39	0	25
B	13.75	1	39	40	0	25
B	13.75	1	40	41	0	25
B	13.75	1	41	42	0	25
B	13.75	1	42	43	0	25
B	16.25	1	0	1	0	25
B	16.25	1	1	2	0	25
B	16.25	1	2	3	0	25
B	16.25	1	3	4	0	25
B	16.25	1	4	5	0	25
B	16.25	1	5	6	0	25
B	16.25	1	6	7	0	25
B	16.25	1	7	8	0	25
B	16.25	1	8	9	0	25
B	16.25	1	9	10	0	25
B	16.25	1	10	11	0	25
B	16.25	1	11	12	0	25
B	16.25	1	12	13	1	25
B	16.25	1	13	14	0	25
B	16.25	1	14	15	0	25
B	16.25	1	15	16	0	25
B	16.25	1	16	17	0	25
B	16.25	1	17	18	0	25
B	16.25	1	18	19	0	25
B	16.25	1	19	20	0	25
B	16.25	1	20	21	0	25
B	16.25	1	21	22	0	25
B	16.25	1	22	23	1	25
B	16.25	1	23	24	0	25
B	16.25	1	24	25	0	25
B	16.25	1	25	26	0	25
B	16.25	1	26	27	0	25
B	16.25	1	27	28	0	25
B	16.25	1	28	29	0	25
B	16.25	1	29	30	0	25
B	16.25	1	30	31	0	25
B	16.25	1	31	32	0	25
B	16.25	1	32	33	0	25
B	16.25	1	33	34	0	25
B	16.25	1	34	35	0	25
B	16.25	1	35	36	0	25
B	16.25	1	36	37	0	25
B	16.25	1	37	38	0	25
B	16.25	1	38	39	0	25
B	16.25	1	39	40	0	25
B	16.25	1	40	41	0	25
B	16.25	1	41	42	0	25
B	16.25	1	42	43	0	25
B	18.75	1	0	1	0	25
B	18.75	1	1	2	0	25
B	18.75	1	2	3	0	25
B	18.75	1	3	4	0	25
B	18.75	1	4	5	0	25
B	18.75	1	5	6	0	25
B	18.75	1	6	7	0	25
B	18.75	1	7	8	0	25
B	18.75	1	8	9	0	25
B	18.75	1	9	10	3	25
B	18.75	1	10	11	2	25
B	18.75	1	11	12	7	25
B	18.75	1	12	13	1	25
B	18.75	1	13	14	2	25
B	18.75	1	14	15	2	25
B	18.75	1	15	16	0	25
B	18.75	1	16	17	0	25
B	18.75	1	17	18	0	25
B	18.75	1	18	19	0	25
B	18.75	1	19	20	0	25
B	18.75	1	20	21	0	25
B	18.75	1	21	22	0	25
B	18.75	1	22	23	0	25
B	18.75	1	23	24	0	25
B	18.75	1	24	25	0	25
B	18.75	1	25	26	0	25
B	18.75	1	26	27	0	25
B	18.75	1	27	28	0	25
B	18.75	1	28	29	0	25
B	18.75	1	29	30	0	25
B	18.75	1	30	31	0	25
B	18.75	1	31	32	0	25
B	18.75	1	32	33	0	25
B	18.75	1	33	34	0	25
B	18.75	1	34	35	0	25
B	18.75	1	35	36	0	25
B	18.75	1	36	37	0	25
B	18.75	1	37	38	0	25
B	18.75	1	38	39	0	25
B	18.75	1	39	40	0	25
B	18.75	1	40	41	0	25
B	18.75	1	41	42	0	25
B	18.75	1	42	43	0	25
B	21.25	1	0	1	0	25
B	21.25	1	1	2	0	25
B	21.25	1	2	3	0	25
B	21.25	1	3	4	0	25
B	21.25	1	4	5	0	25
B	21.25	1	5	6	0	25
B	21.25	1	6	7	0	25
B	21.25	1	7	8	3	25
B	21.25	1	8	9	5	25
B	21.25	1	9	10	6	25
B	21.25	1	10	11	4	25
B	21.25	1	11	12	3	25
B	21.25	1	12	13	2	25
B	21.25	1	13	14	0	25
B	21.25	1	14	15	0	25
B	21.25	1	15	16	0	25
B	21.25	1	16	17	0	25
B	21.25	1	17	18	0	25
B	21.25	1	18	19	0	25
B	21.25	1	19	20	0	25
B	21.25	1	20	21	0	25
B	21.25	1	21	22	1	25
B	21.25	1	22	23	0	25
B	21.25	1	23	24	0	25
B	21.25	1	24	25	0	25
B	21.25	1	25	26	0	25
B	21.25	1	26	27	0	25
B	21.25	1	27	28	0	25
B	21.25	1	28	29	0	25
B	21.25	1	29	30	0	25
B	21.25	1	30	31	0	25
B	21.25	1	31	32	0	25
B	21.25	1	32	33	0	25
B	21.25	1	33	34	0	25
B	21.25	1	34	35	0	25
B	21.25	1	35	36	0	25
B	21.25	1	36	37	0	25
B	21.25	1	37	38	0	25
B	21.25	1	38	39	0	25
B	21.25	1	39	40	0	25
B	21.25	1	40	41	0	25
B	21.25	1	41	42	0	25
B	21.25	1	42	43	0	25
B	23.75	1	0	1	0	25
B	23.75	1	1	2	0	25
B	23.75	1	2	3	0	25
B	23.75	1	3	4	0	25
B	23.75	1	4	5	0	25
B	23.75	1	5	6	0	25
B	23.75	1	6	7	3	25
B	23.75	1	7	8	4	25
B	23.75	1	8	9	13	25
B	23.75	1	9	10	1	25
B	23.75	1	10	11	4	25
B	23.75	1	11	12	0	25
B	23.75	1	12	13	0	25
B	23.75	1	13	14	0	25
B	23.75	1	14	15	0	25
B	23.75	1	15	16	0	25
B	23.75	1	16	17	0	25
B	23.75	1	17	18	0	25
B	23.75	1	18	19	0	25
B	23.75	1	19	20	0	25
B	23.75	1	20	21	0	25
B	23.75	1	21	22	0	25
B	23.75	1	22	23	0	25
B	23.75	1	23	24	0	25
B	23.75	1	24	25	0	25
B	23.75	1	25	26	0	25
B	23.75	1	26	27	0	25
B	23.75	1	27	28	0	25
B	23.75	1	28	29	0	25
B	23.75	1	29	30	0	25
B	23.75	1	30	31	0	25
B	23.75	1	31	32	0	25
B	23.75	1	32	33	0	25
B	23.75	1	33	34	0	25
B	23.75	1	34	35	0	25
B	23.75	1	35	36	0	25
B	23.75	1	36	37	0	25
B	23.75	1	37	38	0	25
B	23.75	1	38	39	0	25
B	23.75	1	39	40	0	25
B	23.75	1	40	41	0	25
B	23.75	1	41	42	0	25
B	23.75	1	42	43	0	25
B	26.25	1	0	1	0	25
B	26.25	1	1	2	0	25
B	26.25	1	2	3	0	25
B	26.25	1	3	4	0	25
B	26.25	1	4	5	0	25
B	26.25	1	5	6	0	25
B	26.25	1	6	7	0	25
B	26.25	1	7	8	0	25
B	26.25	1	8	9	0	25
B	26.25	1	9	10	0	25
B	26.25	1	10	11	0	25
B	26.25	1	11	12	0	25
B	26.25	1	12	13	0	25
B	26.25	1	13	14	0	25
B	26.25	1	14	15	0	25
B	26.25	1	15	16	0	25
B	26.25	1	16	17	0	25
B	26.25	1	17	18	0	25
B	26.25	1	18	19	0	25
B	26.25	1	19	20	0	25
B	26.25	1	20	21	0	25
B	26.25	1	21	22	0	25
B	26.25	1	22	23	0	25
B	26.25	1	23	24	0	25
B	26.25	1	24	25	0	25
B	26.25	1	25	26	0	25
B	26.25	1	26	27	0	25
B	26.25	1	27	28	0	25
B	26.25	1	28	29	0	25
B	26.25	1	29	30	0	25
B	26.25	1	30	31	0	25
B	26.25	1	31	32	0	25
B	26.25	1	32	33	0	25
B	26.25	1	33	34	0	25
B	26.25	1	34	35	0	25
B	26.25	1	35	36	0	25
B	26.25	1	36	37	0	25
B	26.25	1	37	38	0	25
B	26.25	1	38	39	0	25
B	26.25	1	39	40	0	25
B	26.25	1	40	41	0	25
B	26.25	1	41	42	0	25
B	26.25	1	42	43	0	25
B	28.75	1	0	1	0	25
B	28.75	1	1	2	0	25
B	28.75	1	2	3	0	25
B	28.75	1	3	4	0	25
B	28.75	1	4	5	0	25
B	28.75	1	5	6	0	25
B	28.75	1	6	7	0	25
B	28.75	1	7	8	0	25
B	28.75	1	8	9	0	25
B	28.75	1	9	10	0	25
B	28.75	1	10	11	0	25
B	28.75	1	11	12	0	25
B	28.75	1	12	13	0	25
B	28.75	1	13	14	0	25
B	28.75	1	14	15	0	25
B	28.75	1	15	16	0	25
B	28.75	1	16	17	0	25
B	28.75	1	17	18	0	25
B	28.75	1	18	19	0	25
B	28.75	1	19	20	0	25
B	28.75	1	20	21	0	25
B	28.75	1	21	22	0	25
B	28.75	1	22	23	0	25
B	28.75	1	23	24	0	25
B	28.75	1	24	25	0	25
B	28.75	1	25	26	0	25
B	28.75	1	26	27	0	25
B	28.75	1	27	28	0	25
B	28.75	1	28	29	0	25
B	28.75	1	29	30	0	25
B	28.75	1	30	31	0	25
B	28.75	1	31	32	0	25
B	28.75	1	32	33	0	25
B	28.75	1	33	34	0	25
B	28.75	1	34	35	0	25
B	28.75	1	35	36	0	25
B	28.75	1	36	37	0	25
B	28.75	1	37	38	0	25
B	28.75	1	38	39	0	25
B	28.75	1	39	40	0	25
B	28.75	1	40	41	0	25
B	28.75	1	41	42	0	25
B	28.75	1	42	43	0	25
B	31.25	1	0	1	0	25
B	31.25	1	1	2	0	25
B	31.25	1	2	3	0	25
B	31.25	1	3	4	0	25
B	31.25	1	4	5	0	25
B	31.25	1	5	6	0	25
B	31.25	1	6	7	0	25
B	31.25	1	7	8	0	25
B	31.25	1	8	9	0	25
B	31.25	1	9	10	0	25
B	31.25	1	10	11	0	25
B	31.25	1	11	12	0	25
B	31.25	1	12	13	0	25
B	31.25	1	13	14	0	25
B	31.25	1	14	15	0	25
B	31.25	1	15	16	0	25
B	31.25	1	16	17	0	25
B	31.25	1	17	18	0	25
B	31.25	1	18	19	0	25
B	31.25	1	19	20	0	25
B	31.25	1	20	21	0	25
B	31.25	1	21	22	0	25
B	31.25	1	22	23	0	25
B	31.25	1	23	24	0	25
B	31.25	1	24	25	0	25
B	31.25	1	25	26	0	25
B	31.25	1	26	27	0	25
B	31.25	1	27	28	0	25
B	31.25	1	28	29	0	25
B	31.25	1	29	30	0	25
B	31.25	1	30	31	0	25
B	31.25	1	31	32	0	25
B	31.25	1	32	33	0	25
B	31.25	1	33	34	0	25
B	31.25	1	34	35	0	25
B	31.25	1	35	36	0	25
B	31.25	1	36	37	0	25
B	31.25	1	37	38	0	25
B	31.25	1	38	39	0	25
B	31.25	1	39	40	0	25
B	31.25	1	40	41	0	25
B	31.25	1	41	42	0	25
B	31.25	1	42	43	0	25
