species,temperature,psi,dish,times,germinated,germinable
Anisantha rubens,20/10C,-0.2,A,2,0,25
Anisantha rubens,20/10C,-0.2,A,6,0,25
Anisantha rubens,20/10C,-0.2,A,10,0,25
Anisantha rubens,20/10C,-0.2,A,15,0,25
Anisantha rubens,20/10C,-0.2,A,18,0,25
Anisantha rubens,20/10C,-0.2,A,23,0,25
Anisantha rubens,20/10C,-0.2,A,30,7,25
Anisantha rubens,20/10C,-0.2,A,35,3,25
Anisantha rubens,20/10C,-0.2,A,40,2,25
Anisantha rubens,20/10C,-0.2,A,48,4,25
Anisantha rubens,20/10C,-0.2,A,51,3,25
Anisantha rubens,20/10C,-0.2,A,55,3,25
Anisantha rubens,20/10C,-0.2,A,58,0,25
Anisantha rubens,20/10C,-0.2,A,65,1,25
Anisantha rubens,20/10C,-0.2,A,71,1,25
Anisantha rubens,20/10C,-0.2,A,75,1,25
Anisantha rubens,20/10C,-0.2,B,2,0,24
Anisantha rubens,20/10C,-0.2,B,6,0,24
Anisantha rubens,20/10C,-0.2,B,10,0,24
Anisantha rubens,20/10C,-0.2,B,15,0,24
Anisantha rubens,20/10C,-0.2,B,18,0,24
Anisantha rubens,20/10C,-0.2,B,23,0,24
Anisantha rubens,20/10C,-0.2,B,30,10,24
Anisantha rubens,20/10C,-0.2,B,35,1,24
Anisantha rubens,20/10C,-0.2,B,40,4,24
Anisantha rubens,20/10C,-0.2,B,48,6,24
Anisantha rubens,20/10C,-0.2,B,51,1,24
Anisantha rubens,20/10C,-0.2,B,55,1,24
Anisantha rubens,20/10C,-0.2,B,58,1,24
Anisantha rubens,20/10C,-0.2,C,2,0,25
Anisantha rubens,20/10C,-0.2,C,6,0,25
Anisantha rubens,20/10C,-0.2,C,10,0,25
Anisantha rubens,20/10C,-0.2,C,15,0,25
Anisantha rubens,20/10C,-0.2,C,18,0,25
Anisantha rubens,20/10C,-0.2,C,23,0,25
Anisantha rubens,20/10C,-0.2,C,30,7,25
Anisantha rubens,20/10C,-0.2,C,35,2,25
Anisantha rubens,20/10C,-0.2,C,40,1,25
Anisantha rubens,20/10C,-0.2,C,48,8,25
Anisantha rubens,20/10C,-0.2,C,51,3,25
Anisantha rubens,20/10C,-0.2,C,55,1,25
Anisantha rubens,20/10C,-0.2,C,58,0,25
Anisantha rubens,20/10C,-0.2,C,65,0,25
Anisantha rubens,20/10C,-0.2,C,71,0,25
Anisantha rubens,20/10C,-0.2,C,75,1,25
Anisantha rubens,20/10C,-0.2,C,80,2,25
Anisantha rubens,20/10C,-0.2,D,2,0,25
Anisantha rubens,20/10C,-0.2,D,6,0,25
Anisantha rubens,20/10C,-0.2,D,10,0,25
Anisantha rubens,20/10C,-0.2,D,15,0,25
Anisantha rubens,20/10C,-0.2,D,18,0,25
Anisantha rubens,20/10C,-0.2,D,23,0,25
Anisantha rubens,20/10C,-0.2,D,30,8,25
Anisantha rubens,20/10C,-0.2,D,35,2,25
Anisantha rubens,20/10C,-0.2,D,40,2,25
Anisantha rubens,20/10C,-0.2,D,48,6,25
Anisantha rubens,20/10C,-0.2,D,51,1,25
Anisantha rubens,20/10C,-0.2,D,55,0,25
Anisantha rubens,20/10C,-0.2,D,58,1,25
Anisantha rubens,20/10C,-0.2,D,65,2,25
Anisantha rubens,20/10C,-0.2,D,71,2,25
Anisantha rubens,20/10C,-0.2,D,75,1,25
Anisantha rubens,20/10C,-0.4,A,2,0,25
Anisantha rubens,20/10C,-0.4,A,6,0,25
Anisantha rubens,20/10C,-0.4,A,10,0,25
Anisantha rubens,20/10C,-0.4,A,15,0,25
Anisantha rubens,20/10C,-0.4,A,18,0,25
Anisantha rubens,20/10C,-0.4,A,23,0,25
Anisantha rubens,20/10C,-0.4,A,30,8,25
Anisantha rubens,20/10C,-0.4,A,35,3,25
Anisantha rubens,20/10C,-0.4,A,40,1,25
Anisantha rubens,20/10C,-0.4,A,48,7,25
Anisantha rubens,20/10C,-0.4,A,51,1,25
Anisantha rubens,20/10C,-0.4,A,55,1,25
Anisantha rubens,20/10C,-0.4,A,58,0,25
Anisantha rubens,20/10C,-0.4,A,65,1,25
Anisantha rubens,20/10C,-0.4,A,71,2,25
Anisantha rubens,20/10C,-0.4,A,75,1,25
Anisantha rubens,20/10C,-0.4,B,2,0,25
Anisantha rubens,20/10C,-0.4,B,6,0,25
Anisantha rubens,20/10C,-0.4,B,10,0,25
Anisantha rubens,20/10C,-0.4,B,15,0,25
Anisantha rubens,20/10C,-0.4,B,18,0,25
Anisantha rubens,20/10C,-0.4,B,23,0,25
Anisantha rubens,20/10C,-0.4,B,30,6,25
Anisantha rubens,20/10C,-0.4,B,35,1,25
Anisantha rubens,20/10C,-0.4,B,40,0,25
Anisantha rubens,20/10C,-0.4,B,48,5,25
Anisantha rubens,20/10C,-0.4,B,51,3,25
Anisantha rubens,20/10C,-0.4,B,55,0,25
Anisantha rubens,20/10C,-0.4,B,58,2,25
Anisantha rubens,20/10C,-0.4,B,65,2,25
